year,ARA,ASSET,ATO,GROWTH,LEV,ROA,SHARE,ST
1999,0.192309634,19.85604835,0.0052,-0.950727316,0.445880057,0.087709802,26.89,0
1999,0.220119957,20.91086312,0.0056,-0.942656324,0.398686374,0.016820383,39.62,0
1999,0.325291689,19.35262341,0.0166,-0.937440417,0.303348107,0.042468332,26.46,0
1999,0.025728678,21.43892774,0.0028,-0.852995319,0.758250185,0.01815163,60.16,0
1999,0.533590893,21.61333919,0.2552,-0.816703929,0.726875299,0.004146607,54.24,1
1999,0.061275206,21.04117011,0.1248,-0.810288401,0.401750312,0.051080619,57.14,0
1999,0.441471658,20.51675708,0.0785,-0.801490036,0.422824133,0.060003237,29,0
1999,0.213081404,20.61706383,0.0606,-0.755937539,0.559262963,0.029295059,29.82,0
1999,0.416292804,20.51603545,0.4747,-0.726220637,0.569279399,0.090225874,36.15,1
1999,0.010403584,21.37770103,0.0643,-0.679994785,0.375268364,0.061089344,49.87,0
1999,0.634684249,20.20880267,0.112,-0.673661076,0.490131711,0.032005969,27.27,0
1999,0.501476997,20.5718533,0.0674,-0.64986085,0.242655012,0.05187865,30.58,0
1999,0.068310417,20.58350214,0.1187,-0.632636764,0.380343512,0.111056226,52.5,0
1999,0.042896615,20.03442823,0.1039,-0.593975962,0.638924541,0.024355732,52.29,1
1999,0.05264031,21.86492839,0.1337,-0.592011661,0.448451148,0.030484036,37.56,0
1999,0.088086891,20.24541167,0.1623,-0.579351319,0.211571028,0.10131982,45.38,0
1999,0.295880203,22.07105241,0.2342,-0.537640418,0.223572934,0.005124858,40.9,1
1999,0.190728207,19.46521762,0.1685,-0.512670541,0.282113396,0.102028881,36.08,0
1999,0.257361259,18.74807498,0.1369,-0.479413266,0.381628908,0.00435639,39.76,0
1999,0.074185867,19.14822071,0.3531,-0.476164854,0.285055948,0.042991665,21.86,0
1999,0.254940709,20.30678627,0.1517,-0.46206155,0.371938398,0.038957455,27.27,0
1999,0.08173224,21.2901707,0.1568,-0.461984021,0.650364933,0.038570941,42.57,0
1999,0.147519326,20.0699651,0.4337,-0.454994145,0.408204114,0.014662569,48.77,0
1999,0.056316721,20.57639243,0.2439,-0.452460823,0.272638549,0.073574918,52.64,0
1999,0.130169211,20.18564796,0.1772,-0.448326543,0.571938358,0.041322022,24.09,0
1999,0.096421321,20.42817493,0.2554,-0.444744774,0.213924136,0.050458112,28.7,0
1999,0.292691009,20.83600604,0.3668,-0.437733038,0.149051377,0.077584136,25.5,0
1999,0.058177477,19.57386752,0.6248,-0.434591944,0.484751763,0.054347883,29.59,0
1999,0.304057498,20.32120962,0.1657,-0.429560977,0.34046721,0.056303176,30.8,0
1999,0.087172482,20.68161933,0.0824,-0.427914719,0.458787716,0.036496418,32.48,1
1999,0.009249134,19.75043189,0.1746,-0.389253449,0.035010084,0.061682268,66.1,0
1999,0.051249806,20.86482509,0.3149,-0.38891439,0.28367001,0.05218328,51.78,0
1999,0.297857318,19.52191069,0.23,-0.388688449,0.624262678,0.046474317,26.1,0
1999,0.539005927,20.93409163,0.2644,-0.375526395,0.373609505,0.004930342,50.41,0
1999,0.033161822,20.94072226,0.2657,-0.355790207,0.155649368,0.019497784,58.83,0
1999,0.023527106,20.07082309,2.3959,-0.344679574,0.139472152,0.070585969,53.21,0
1999,0.023551128,20.1652559,0.49,-0.343752981,0.131572752,0.032780145,58.38,0
1999,0.030638844,20.51378879,0.2568,-0.340930489,0.240052598,0.084377891,58.93,0
1999,0.216374585,20.53056092,0.3467,-0.336056835,0.410801824,0.009839698,56.31,0
1999,0.265268714,21.72521949,0.2709,-0.333469897,0.5844994,0.041093567,72.15,0
1999,0.331992211,20.76035504,0.5616,-0.329663531,0.497772496,0.058323759,22.19,0
1999,0.11310223,20.25780631,0.2385,-0.328486211,0.265944242,0.045971846,69.77,0
1999,0.016848424,21.12853875,0.3686,-0.324670386,0.403418105,0.015285095,31.58,0
1999,0.048768247,22.76456474,0.4345,-0.320050223,0.701277601,0.000337088,68.4,0
1999,0.221854752,21.34461211,0.3883,-0.319387009,0.525526945,0.002922307,63.04,0
1999,0.015640409,21.57289382,0.4918,-0.315228257,0.260736093,0.032466859,50.32,0
1999,0.052301768,18.84472492,0.1183,-0.306728909,0.980321752,0.011797062,29.56,0
1999,0.033620694,20.78092074,0.5029,-0.299163898,0.509428767,0.002165781,22.34,1
1999,0.160946386,20.76275808,0.1666,-0.297330425,0.371707645,0.044110619,20.94,0
1999,0.387724477,19.81747627,0.6471,-0.297287536,0.416492962,0.002055536,37.06,0
1999,0.211452865,20.33396995,0.192,-0.296652639,0.238302633,0.055258545,57.29,0
1999,0.123811429,20.63370766,0.3035,-0.286769151,0.514914818,0.029433949,37.68,1
1999,0.24674946,19.07363796,0.2941,-0.28617591,0.413695505,0.038856079,70.6,1
1999,0.112420041,20.25942276,0.2719,-0.279460311,0.240089559,0.076523009,38.34,0
1999,0.187069287,21.79404073,0.0405,-0.279321786,0.511594091,0.010452066,58.47,0
1999,0.187437318,19.14750726,0.0263,-0.275740242,0.298397433,0.042755254,28.97,0
1999,0.095388523,19.96855456,0.1397,-0.275469275,0.384481841,0.064114464,59.95,0
