name,poor,weak,moderate,long_lasting,very_long_lasting
Incense Flash Tauerville for women and men,5,7,21,21,11
Patch Flash Tauerville for women and men,7,2,8,7,11
Rose Flash Tauerville for women and men,9,14,14,65,56
Tuberose Flash Tauerville for women and men,2,3,3,5,5
Vanilla Flash Tauerville for women and men,12,11,26,50,40
Vetiver & Petitgrain Splash Tauerville for women and men,0,1,0,1,1
When We Cuddle And I Can Smell My Perfume On Your Clothes Tauerville for women and men,1,0,4,4,5
After the Rain Solstice Scents for women and men,2,0,2,0,0
Amber Coeur Solstice Scents for women and men,0,0,0,0,0
Astral Temple Solstice Scents for women and men,1,4,3,0,1
Attic Solstice Scents for women and men,1,1,2,1,1
Black Forest Solstice Scents for women and men,0,1,1,3,2
Black Leather Red Lace Solstice Scents for women and men,0,0,0,1,1
Black Mallow Solstice Scents for women and men,0,0,1,2,3
Blackburn Farmstead Solstice Scents for women and men,0,0,1,0,0
Blackburn's Parlor Solstice Scents for women and men,0,0,0,0,1
Blossom Jam Tea Cakes Solstice Scents for women and men,1,1,1,3,3
Blueberry Violet Truffle Solstice Scents for women and men,0,0,3,1,0
Camp Willow Solstice Scents for women and men,0,0,1,0,0
Cardamom Rose Sugar Solstice Scents for women and men,0,0,2,2,2
Casting Shadows Solstice Scents for women and men,0,1,0,3,3
Cellar Solstice Scents for women and men,0,0,3,0,0
Chantilly Cream Solstice Scents for women,0,0,3,0,0
Cherry Cordial Solstice Scents for women and men,0,0,3,1,0
Cherry Vanilla Amberosia Solstice Scents for women and men,1,0,3,3,0
Chiffon Solstice Scents for women,1,0,0,1,0
Cliffside Bonfire Solstice Scents for women and men,0,1,2,0,3
Cocoa Absolute Solstice Scents for women and men,1,0,0,1,1
Conjure Solstice Scents for women and men,0,1,4,0,5
Conjure Dark Solstice Scents for women and men,0,0,0,0,6
Corvin's Apple Fest Solstice Scents for women and men,0,0,2,2,1
Corvin's Smoked Apple Solstice Scents for women and men,1,0,0,3,2
Covered Bridge Solstice Scents for women and men,0,1,4,2,1
Crimson Sap & Sassafras Solstice Scents for women and men,1,1,0,1,2
Dark Ginger Spicecake Solstice Scents for women and men,0,0,1,1,0
Desert Thunderstorm Solstice Scents for women and men,0,0,1,1,1
Devil's Millhopper Solstice Scents for women and men,0,0,0,1,0
Devil's Tongue Solstice Scents for women and men,1,0,1,0,0
During the Rain Solstice Scents for women and men,1,0,1,3,0
Edge of the Night Solstice Scents for women and men,0,0,1,0,0
Estate Amber Solstice Scents for women and men,0,0,2,0,2
Estate Cacao Solstice Scents for women and men,0,0,0,2,0
Estate Carnation Solstice Scents for women and men,0,0,1,1,7
Estate Lavender Solstice Scents for women and men,0,0,1,1,3
Estate Rosewood Solstice Scents for women and men,0,1,1,2,5
Estate Vanilla Solstice Scents for women and men,0,3,0,6,3
Estate Vetiver Solstice Scents for women and men,0,0,2,0,1
Fires in the Night Solstice Scents for women and men,0,0,0,0,1
Flintlock Solstice Scents for women and men,0,1,1,0,0
Flowers Nocturnal Solstice Scents for women,1,0,2,4,2
Foxcroft Solstice Scents for women and men,0,1,0,1,0
Foxcroft Fairgrounds Solstice Scents for women and men,4,2,5,3,5
Foxcroft Intense Solstice Scents for women and men,0,0,3,1,0
Full Dark Solstice Scents for women and men,2,0,2,3,3
Gehenna Solstice Scents for women and men,0,0,1,4,1
Gibbon's Boarding School Solstice Scents for women and men,1,0,2,3,1
Gibbon's Mischief Night Solstice Scents for women and men,0,2,1,0,0
Gin Flower Solstice Scents for women and men,0,0,1,2,0
Grey's Cabin Solstice Scents for women and men,0,1,3,1,0
Guardian Solstice Scents for women and men,0,1,0,1,1
Gulf Breeze Solstice Scents for women and men,0,0,0,0,0
Gunnerson's Pumpkin Patch Solstice Scents for women and men,0,0,0,3,1
Halloween Night Solstice Scents for women and men,1,0,0,2,1
Headmaster Solstice Scents for women and men,0,0,0,0,2
Heart of the Night Solstice Scents for women and men,0,1,2,1,1
Heat of the Night Solstice Scents for women and men,0,0,0,2,0
Hidden Lodge Solstice Scents for women and men,0,1,3,0,0
High Desert Solstice Scents for women and men,0,0,1,3,0
High Noon Solstice Scents for women and men,0,2,2,0,1
Incensum Solstice Scents for women and men,0,0,1,1,1
Inquisitor Solstice Scents for women and men,0,1,0,0,3
Island Blackstrap Solstice Scents for women and men,0,0,0,0,0
Jack and the Devil Solstice Scents for women and men,0,0,0,3,0
Kitchen Solstice Scents for women and men,1,0,3,3,0
Lace Draped Spectre Solstice Scents for women and men,1,1,3,2,1
Lavender Raspberry Truffle Solstice Scents for women,1,0,1,1,0
Lavender Vanilla Solstice Scents for women and men,1,0,1,2,3
Library Solstice Scents for women and men,2,1,2,4,2
Loggia Solstice Scents for women and men,0,0,3,1,0
Maine Moon Solstice Scents for women and men,0,1,3,2,0
Manor Solstice Scents for women and men,2,2,2,8,2
Maplewood Inn Solstice Scents for women and men,0,2,1,1,0
Master Bedroom Solstice Scents for women and men,1,0,1,0,1
Midnight Marquee Solstice Scents for women and men,0,0,1,3,1
Minister Solstice Scents for women and men,0,1,2,3,2
Monarch Solstice Scents for men,0,1,2,0,1
Monastic Solstice Scents for women and men,0,1,2,0,0
Mountain Vanilla Solstice Scents for women and men,0,0,0,2,1
Night Star Solstice Scents for women and men,0,1,0,1,0
Night Watcher Solstice Scents for women and men,1,0,1,3,1
Nightgown Solstice Scents for women and men,3,2,4,1,1
Old Havana Solstice Scents for women and men,0,0,0,0,1
Orient Rose Solstice Scents for women,1,4,0,3,3
Outpost Solstice Scents for women and men,0,0,4,0,0
Owl Creek Aleworks Solstice Scents for women and men,0,0,1,1,3
Parlor Trick Solstice Scents for women and men,0,1,0,1,4
Pharaoh Solstice Scents for women and men,0,1,0,1,2
Pinyon Truffle Solstice Scents for women and men,1,0,3,2,0
Postprandial Solstice Scents for women and men,0,1,0,2,2
Pumpkin Spice Latte Solstice Scents for women and men,0,0,0,3,1
Quiet Night Solstice Scents for women and men,0,0,0,0,0
Riverside Hayride Solstice Scents for women and men,0,0,4,0,0
Riverside Sleighride Solstice Scents for women and men,0,0,1,0,2
Rose Custard Kulfi Solstice Scents for women and men,1,0,1,1,4
Rose Leather Solstice Scents for women and men,0,0,0,0,0
Rose Mallow Cream Solstice Scents for women,2,3,9,3,9
Russian Caravan Solstice Scents for women and men,0,1,1,0,0
Sacred Vow Solstice Scents for women and men,0,0,0,1,0
Sawmill Solstice Scents for women and men,0,0,0,3,0
Scrying Smoke Solstice Scents for women and men,0,0,0,0,5
Sea Of Gray Solstice Scents for women and men,0,0,2,1,1
Seance Solstice Scents for women and men,0,1,1,0,3
Shadows in the Night Solstice Scents for women and men,1,0,0,0,0
Sirocco Solstice Scents for women and men,0,0,0,3,1
Smokewood Apiary Solstice Scents for women and men,0,1,6,0,1
Smoky Mountain Mallow Solstice Scents for women and men,0,0,2,0,0
Snowmint Mallow Solstice Scents for women and men,1,2,5,2,0
Snowshoe Pass Solstice Scents for women and men,0,1,2,3,3
Solstice Kyphi Solstice Scents for women and men,0,0,0,0,2
Sycamore Chai Solstice Scents for women and men,0,0,1,1,0
Sycamore Sugarworks Solstice Scents for women and men,0,0,0,1,0
Tenebrous Mist Solstice Scents for women and men,0,0,1,0,2
Thornwood Thicket Solstice Scents for women and men,0,2,7,2,0
Travelers Solstice Scents for women and men,0,0,1,2,0
Tropical Moon Solstice Scents for women and men,0,0,1,0,0
Vanilla Pipe Tobacco Solstice Scents for women and men,1,3,4,2,3
Victorian Picnic Solstice Scents for women,0,1,2,2,0
Victorian Tea Room Solstice Scents for women and men,0,0,0,3,0
Violet Mallow Solstice Scents for women and men,1,0,4,3,4
Violet Truffle Solstice Scents for women and men,0,0,0,1,2
Violet White Leather Solstice Scents for women and men,0,1,1,2,6
Whispers in the Night Solstice Scents for women and men,0,1,0,1,0
White Feather Solstice Scents for women,0,0,0,4,2
White Fox Solstice Scents for women and men,0,1,0,5,2
Wilcox's Solstice Scents for women and men,0,0,1,1,0
Winslow's Solstice Scents for women and men,1,0,1,3,0
Winter Dove Solstice Scents for women and men,0,0,6,1,3
Witch's Cottage Solstice Scents for women and men,1,1,0,4,1
Wolf Spirit Solstice Scents for women and men,1,1,1,1,2
Amouage Epic Woman Amouage for women,6,12,35,67,125
Ode а l'Amour ID Parfums for women,0,0,1,0,1
Somei Yoshino Parfums Berdoues for women,5,2,4,1,1
Love Rose Reminiscence for women,5,2,5,4,0
Fiore d'Ulivo Xerjoff for women,7,4,17,19,4
Facets Avon for women,1,2,5,2,1
Africa Axe for men,2,6,21,1,3
Apollo Axe for men,7,14,7,0,3
Axe Instinct Axe for men,3,6,3,1,1
Black Axe for men,1,9,6,6,1
Dark Temptation Axe for men,15,34,35,12,6
Denim Axe for men,0,0,0,0,0
Dimension Axe for men,1,0,0,0,0
Excite Axe for men,5,2,7,4,3
Googly Axe for men,0,0,0,0,1
Kilo Axe for men,2,3,2,1,0
Marine Axe for men,2,3,4,4,2
Musicstar Axe for men,0,0,0,1,0
Musk Axe for men,3,3,3,2,0
Phoenix Axe for men,5,7,3,3,2
Provocation Axe for men,1,1,1,2,0
Provoke Axe for men,5,4,0,0,1
Pulse Axe for men,0,4,0,0,1
Rise Axe for men,1,0,0,0,0
Signature Intense Axe for men,1,2,6,4,0
Signature Mysterious Axe for men,3,0,1,1,1
Signature Rogue Axe for men,4,0,0,0,0
Signature Suave Axe for men,1,3,1,2,1
Tsunami Axe for men,0,1,1,1,0
Wild Spice Axe for men,1,0,0,0,0
Colors de Benetton Man (Original) Benetton for men,0,0,2,6,2
CK Be We Are One Magnets Calvin Klein for women and men,0,2,1,1,0
CK One Shock For Her Calvin Klein for women,73,132,95,24,14
CK One Shock For Him Calvin Klein for men,79,100,389,561,81
CK One Shock Street Edition for Him Calvin Klein for men,3,4,21,12,4
Contradiction Calvin Klein for women,8,21,75,31,6
Deep Euphoria Calvin Klein for women,30,13,42,13,4
Eternity Now For Women Calvin Klein for women,11,8,32,31,4
Man Calvin Klein for men,11,30,114,22,6
Reveal Men Calvin Klein for men,25,22,65,149,85
Secret Obsession Calvin Klein for women,17,36,109,93,22
212 Men Carolina Herrera for men,30,51,253,484,102
212 Men Silver Carolina Herrera for men,0,0,0,0,1
212 NYC Men Pills Carolina Herrera for men,0,1,2,4,2
La Voce Renee Fleming Coty for women,0,0,0,1,2
5th Avenue Elizabeth Arden for women,49,78,254,153,30
Goddess Impulse for women,1,0,3,0,0
Hint of Musk Impulse for women,0,2,2,1,0
Icø Impulse for women,1,1,2,0,0
Illusions Impulse for women,0,1,4,0,0
Incense Impulse for women,2,0,2,0,2
Into Glamour Impulse for women,0,0,1,2,0
Lovely Rock Impulse for women,0,0,0,0,0
Romantic Spark Impulse for women,0,0,1,0,0
Siren Impulse for women,0,3,0,0,0
Spice Girls Impulse for women,2,6,4,1,1
Temptation Impulse for women,3,0,2,0,0
Thrill Impulse for women,0,1,0,0,0
TrueLove Impulse for women,1,3,1,0,0
Very Pink Impulse for women,1,2,0,2,0
Zen Impulse for women,1,4,1,0,0
Bang Marc Jacobs for men,19,44,92,35,14
Daisy Dream Marc Jacobs for women,128,94,107,15,14
Daisy Dream Forever Marc Jacobs for women,9,9,35,13,2
Daisy Dream Petals Marc Jacobs for women,0,0,0,1,0
Decadence Marc Jacobs for women,35,44,136,288,115
Decadence One Eight K Edition Marc Jacobs for women,1,3,6,12,5
Dot Marc Jacobs for women,68,93,185,45,26
Honey Marc Jacobs for women,42,59,133,37,23
Oh Lola! Marc Jacobs for women,43,62,99,31,15
Pink Honey Marc Jacobs for women,6,4,8,0,1
Esprit d’Oscar Oscar de la Renta for women,11,21,67,102,44
Live in Love Oscar de la Renta for women,21,39,47,23,10
Something Blue Oscar de la Renta for women,11,13,44,22,8
Covet Sarah Jessica Parker for women,24,37,140,84,25
Baroque Yardley for women,0,0,6,0,0
My Queen Alexander McQueen for women,7,11,44,45,20
My Queen Deluxe Edition Alexander McQueen for women,0,0,3,2,1
Le Parfum Barbara Bui for women,3,6,13,8,6
Betty Barclay Woman No 3 Betty Barclay for women,2,1,1,0,2
Miss Boucheron Boucheron for women,1,6,19,6,8
Burberry Brit Rhythm Burberry for men,15,27,99,94,26
212 VIP Black Carolina Herrera for men,10,13,17,76,11
Fleur de Narcisse Chloé for women,3,0,3,0,3
Love Story Chloé for women,29,37,168,63,25
Love Story Eau de Toilette Chloé for women,8,7,24,10,4
Love Story Eau Sensuelle Chloé for women,6,5,36,10,2
Coach for Men Coach for men,31,59,216,48,22
Coach the Fragrance Coach for women,15,21,72,26,8
Bad Diesel for men,4,7,30,56,3
Loverdose Tattoo Diesel for women,22,40,57,47,9
Loverdose Tattoo Eau de Toilette Diesel for women,3,5,4,2,0
Woman Donna Karan for women,3,4,18,14,5
Eau Jeune Viva Passion Eau Jeune for women,0,2,0,0,0
Piege a Filles Egofacto for men,1,1,3,0,0
Chiffon Sorbet Escada for women,0,2,2,5,1
Floral Exotique Filles des Iles for women,0,0,0,0,0
Floral Pettilant Filles des Iles for women,0,0,0,0,0
Acqua di Gioia Giorgio Armani for women,54,107,433,263,71
Acqua di Gioia Hair & Body Mist Giorgio Armani for women,0,0,0,0,0
Emporio Armani Because It’s You Giorgio Armani for women,9,26,67,77,21
Irresistible Givenchy Givenchy for women,3,2,4,6,5
L'Interdit Eau de Parfum Givenchy for women,21,31,79,131,80
L'Interdit Eau de Toilette Givenchy for women,4,1,21,14,7
L'Interdit Edition Couture Givenchy for women,3,2,2,9,3
L'Interdit Edition Couture 2020 Givenchy for women,0,0,1,1,0
L'Interdit Hair Mist Givenchy for women,0,0,0,0,0
Very Irresistible Givenchy Fresh Attitude Givenchy for men,4,9,36,15,4
Le Secret de la Rose ID Parfums for women,0,0,0,0,1
Siam Flamboyant ID Parfums for women,0,2,1,6,1
Tentation de Violettes ID Parfums for women,1,0,2,0,1
Yin Jacques Fath for women,0,0,5,0,1
I Want Oud Jimmy Choo for women,0,0,0,0,0
Illicit Jimmy Choo for women,25,26,74,53,15
Iris Crush Jimmy Choo for women,0,3,1,0,2
Jimmy Choo Man Jimmy Choo for men,43,58,109,28,14
Basil & Neroli Jo Malone London for women and men,26,12,35,14,4
Carrot Blossom & Fennel Jo Malone London for women and men,1,8,4,2,0
Honeysuckle & Davana Jo Malone London for women,8,12,20,3,3
Lavender & Coriander Jo Malone London for women and men,5,1,2,0,0
Nasturtium & Clover Jo Malone London for women and men,4,4,5,6,0
Rose & White Musk Absolu Jo Malone London for women and men,2,8,2,3,6
Sorrel & Lemon Thyme Jo Malone London for women and men,5,3,4,0,0
Star Magnolia Jo Malone London for women,2,6,14,3,0
Violet & Amber Absolu Jo Malone London for women and men,5,3,2,2,1
Wild Strawberry & Parsley Jo Malone London for women and men,3,4,11,5,1
Ananas Fizz L'Artisan Parfumeur for women and men,9,10,9,3,3
Champ de Fleurs L'Artisan Parfumeur for women and men,0,2,2,2,5
Fleur D'Oranger L'Artisan Parfumeur for women and men,6,4,0,1,1
Fleur d'Oranger 2007 L'Artisan Parfumeur for women and men,3,2,4,0,0
Fleur de Narcisse 2006 L'Artisan Parfumeur for women and men,7,2,1,1,1
Iris Pallida 2007 L'Artisan Parfumeur for women and men,1,2,6,0,0
Jacinthe de Bois L'Artisan Parfumeur for women and men,0,0,2,1,0
La Chasse aux Papillons L'Artisan Parfumeur for women and men,38,72,86,27,12
La Chasse aux Papillons Extreme L'Artisan Parfumeur for women and men,18,13,22,6,8
Mimosa Pour Moi L'Artisan Parfumeur for women and men,16,13,29,6,6
Mont de Narcisse L'Artisan Parfumeur for women and men,2,0,7,2,2
Oeillet Sauvage L'Artisan Parfumeur for women and men,9,7,24,9,1
Un Zeste d'Eté L'Artisan Parfumeur for women and men,0,1,0,0,0
Verte Violette L'Artisan Parfumeur for women and men,15,4,8,1,3
Tendre Kiss Lalique for women,2,7,23,4,2
La Vie Est Belle Lancome for women,70,80,292,964,895
La Vie Est Belle Artist Edition by LadyPink Lancome for women,0,0,1,1,0
La Vie est Belle avec Toi Lancome for women,0,0,0,1,1
La Vie Est Belle Christmas Edition Lancome for women,2,1,0,0,1
La Vie Est Belle Collector Edition 2020 Lancome for women,0,0,1,0,1
La Vie Est Belle Edition Limitee Lancome for women,1,0,2,1,1
La Vie est Belle en Rose Lancome for women,10,22,41,15,5
La Vie Est Belle Flowers of Happiness Lancome for women,1,6,12,3,2
La Vie Est Belle Glitter Lancome for women,1,3,2,1,2
La Vie Est Belle L'Eau de Parfum Intense Lancome for women,13,11,27,64,97
La Vie Est Belle L'Eau de Parfum Legere Lancome for women,8,5,20,44,42
La Vie Est Belle L'Eau de Toilette Lancome for women,8,5,22,58,17
La Vie est Belle L'Éclat Lancome for women,13,17,47,92,25
La Vie est Belle L'Éclat L'Eau de Toilette Lancome for women,3,0,9,29,8
La Vie Est Belle L'Extrait de Parfum Lancome for women,2,0,0,2,7
La Vie Est Belle L'Extrait de Parfum by Mellerio dits Meller Lancome for women,2,0,0,2,3
La Vie Est Belle L’Absolu Lancome for women,16,5,15,26,80
La Vie Est Belle L’Eau de Toilette Florale Lancome for women,6,6,18,47,14
La Vie Est Belle Silky Hair Mist Lancome for women,1,0,0,0,0
La Vie Est Belle Sparkly Christmas Edition Eau de Parfum Lancome for women,0,0,0,1,0
La Vie Est Belle x Atelier Paulin Lancome for women,1,2,0,2,2
Eclat de Fleurs Lanvin for women,12,15,36,13,7
Jeanne Lanvin Lanvin for women,53,52,90,29,18
Jeanne Lanvin Scandal Lanvin for women,5,4,2,1,0
Lolita Lempicka Scintillante Lolita Lempicka for women,1,0,0,0,0
So Sweet Lolita Lempicka for women,13,1,7,2,3
Sweet Lolita Lempicka for women,26,17,64,14,11
Sweet Kiss Lolita Lempicka for women,0,1,5,0,1
Nanette Nanette Lepore for women,1,7,18,10,9
Orla Kiely Orla Kiely for women,1,4,7,6,1
Invictus Paco Rabanne for men,58,75,255,511,204
Invictus Onyx Collector Edition Paco Rabanne for men,3,2,6,6,4
Invictus Silver Cup Collector's Edition Paco Rabanne for men,1,1,2,1,5
Lady Million Paco Rabanne for women,35,67,252,360,83
Lady Million Eau de Parfum Collector Edition Paco Rabanne for women,1,1,0,0,0
Lady Million Eau de Toilette Paco Rabanne for women,1,3,12,13,6
Lady Million Eau My Gold! Paco Rabanne for women,7,19,18,9,3
Lady Million Empire Paco Rabanne for women,2,6,8,17,7
Lady Million Empire Collector Edition Paco Rabanne for women,0,0,0,0,0
Lady Million Merry Millions Paco Rabanne for women,0,0,1,0,0
Lady Million Monopoly Collector Edition Paco Rabanne for women,0,0,0,1,0
Lady Million Prive Paco Rabanne for women,4,10,34,26,17
Lady Million x Pac-Man Collector Edition Paco Rabanne for women,0,0,0,0,0
Olympéa Paco Rabanne for women,54,39,186,353,106
Olympéa Aqua Paco Rabanne for women,9,8,37,25,16
Olympéa Onyx Collector Edition Paco Rabanne for women,1,1,1,0,0
Pure XS Paco Rabanne for men,22,23,111,89,31
Pure XS Night Paco Rabanne for men,12,4,21,54,26
Paul Smith Sunshine For Men 2016 Paul Smith for men,0,0,4,0,0
The Essence Porsche Design for men,5,13,27,13,5
The Essence Summer Ice Porsche Design for men,3,0,2,1,2
Woman by Ralph Lauren Ralph Lauren for women,17,20,88,46,19
Mademoiselle Rochas Rochas for women,4,8,14,10,1
Mademoiselle Rochas Couture Rochas for women,6,6,10,4,12
Poupee Rochas for women,5,4,12,6,3
Tubereuse Hédonie Roger & Gallet for women,5,6,6,2,6
Deja Vu Rodin Rothenstein for women,1,0,0,0,0
S.T. Dupont Essence Pure ICE Pour Femme S.T. Dupont for women,0,1,7,1,0
Rykiel Woman Sonia Rykiel for women,2,3,11,10,7
Rykiel Woman Eau de Toilette Sonia Rykiel for women,1,1,7,1,1
Dreams Unlimited The Body Shop for women,6,17,36,3,1
Azione Tonino Lamborghini for men,1,1,4,2,0
Trussardi Jeans Trussardi for women,2,4,11,9,5
Trussardi Skin Trussardi for women,2,9,15,18,3
Folies de Saisons Le Nez au Vent au Printemps Yves Rocher for women,1,0,1,0,0
Art Collection: L'Homme Yves Saint Laurent for men,0,0,1,0,0
Art Collection: La Nuit de L'Homme Yves Saint Laurent for men,1,2,1,3,0
L'Homme Yves Saint Laurent for men,122,316,1149,246,86
L'Homme Parfum Intense Yves Saint Laurent for men,21,34,156,157,41
L'Homme Sport Yves Saint Laurent for men,22,23,80,23,14
L'Homme Ultime Yves Saint Laurent for men,38,37,122,224,34
L'Homme Yves Saint Laurent design by Jean Nouvel Yves Saint Laurent for men,4,2,4,2,1
La Nuit de l'Homme Yves Saint Laurent for men,229,314,1186,1322,196
La Nuit de L'Homme Eau Électrique Yves Saint Laurent for men,21,13,45,49,16
La Nuit De L'Homme Edition Collector 2014 Yves Saint Laurent for men,0,0,0,0,0
Libre Yves Saint Laurent for women,32,31,81,136,52
Manifesto Yves Saint Laurent for women,48,53,196,297,83
Manifesto l'Elixir Yves Saint Laurent for women,11,13,35,108,72
Manifesto L’Eclat Yves Saint Laurent for women,7,14,42,23,8
Manifesto Le Parfum Yves Saint Laurent for women,4,5,12,31,12
Aextra Aether for women and men,0,0,0,0,1
Carboneum Aether for women and men,1,1,3,1,3
Citrus Ester Aether for women and men,2,2,3,1,3
Ether Oxyde Aether for women and men,3,5,4,0,1
Muskethanol Aether for women and men,1,1,1,0,0
Rose Alcane Aether for women and men,1,2,3,0,0
The Majestic Amber Alexandre.J for women,0,0,0,2,0
The Majestic Jardin Alexandre.J for women and men,0,0,0,2,0
The Majestic Musk Alexandre.J for women and men,0,0,0,2,0
The Majestic Vanilla Alexandre.J for women and men,1,0,0,1,0
The Majestic Vetiver Alexandre.J for women and men,0,0,1,0,0
Art Deco I Atelier d'Artistes By Alexandre.J for men,0,0,0,0,0
Art Deco II Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Carnaval Atelier d'Artistes By Alexandre.J for women,0,0,0,0,0
Coeur Rouge Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Coeur Rouge Rubis Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,1
Damah Atelier d'Artistes By Alexandre.J for women,0,0,0,2,0
E 1 Atelier d'Artistes By Alexandre.J for women and men,0,2,0,0,1
E 2 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,1,0
E 4 Atelier d'Artistes By Alexandre.J for women and men,0,1,0,0,1
E 5 Atelier d'Artistes By Alexandre.J for women and men,0,0,1,0,0
Equid Atelier d'Artistes By Alexandre.J for men,0,0,0,1,0
Hewa Atelier d'Artistes By Alexandre.J for women,1,0,0,2,0
Meili 1 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,1
Meili 10 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 2 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 3 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 4 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 5 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 6 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 7 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 8 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Meili 9 Atelier d'Artistes By Alexandre.J for women and men,0,0,0,0,0
Naia Atelier d'Artistes By Alexandre.J for women,0,0,0,0,0
PerCeption Atelier d'Artistes By Alexandre.J for men,0,0,0,0,0
RefleCtion Atelier d'Artistes By Alexandre.J for women,0,0,0,0,1
Signature Atelier d'Artistes By Alexandre.J for men,0,0,0,0,0
Les Eaux Vives Compagnie de Provence for women and men,0,0,0,0,0
Blanc de Sienne Evody Parfums for women and men,3,1,5,2,1
Fleur d'Oranger Evody Parfums for women and men,0,2,2,0,0
Musc Intense Evody Parfums for women and men,1,0,1,1,0
IF by R.K. Frapin for women and men,1,0,3,1,1
Nevermore Frapin for women and men,2,4,7,16,10
Cuir Kora L'Orchestre Parfum for women and men,0,1,2,2,0
Encens Asakusa L'Orchestre Parfum for women and men,1,0,3,6,3
Flamenco Néroli L'Orchestre Parfum for women and men,1,1,4,4,0
Rose Trombone L'Orchestre Parfum for women and men,0,0,0,3,1
Thé Darbouka L'Orchestre Parfum for women and men,0,1,2,2,0
Cologne Precieuse La Manufacture for women and men,2,1,2,0,0
Sovereign Le Galion for men,0,0,5,4,1
Let's Murder The Moonshine Les EAUX Primordiales for women and men,0,0,0,0,1
Lacrima Les Liquides Imaginaires for women and men,2,0,0,1,3
Lacrima Eau de Parfum Les Liquides Imaginaires for women and men,0,0,1,1,0
Melancolia Les Liquides Imaginaires for women and men,0,0,4,0,3
Phantasma Les Liquides Imaginaires for women and men,1,1,0,2,1
Phantasma Eau de Parfum Les Liquides Imaginaires for women and men,0,0,0,1,0
Parfum de Gin Lord of Barbès for women and men,0,0,0,0,0
Le Barbier de Tanger MDCI Parfums for men,2,2,4,4,10
Id Mendittorosa for women and men,3,5,13,12,8
Lacura Mendittorosa for women and men,1,2,1,7,1
Le Mat Mendittorosa for women and men,5,2,7,35,34
North Mendittorosa for women and men,0,1,12,5,4
Belle Epoque Parfumerie Particulière for women and men,0,0,0,5,0
Berlin(h)er Parfumerie Particulière for women and men,1,0,2,1,1
Black Tar Parfumerie Particulière for women and men,0,2,3,1,1
Blue Mandarine Parfumerie Particulière for women and men,0,1,0,0,0
Madeleine Parfumerie Particulière for women,0,2,3,5,0
Pluie Noire Parfumerie Particulière for women and men,0,0,0,4,1
The Saint Mariner Parfumerie Particulière for women and men,0,0,0,0,0
Tonka Fever Parfumerie Particulière for women and men,0,1,0,3,2
Type Writer Parfumerie Particulière for women and men,1,0,0,2,2
Reflet Rose Plumages for women and men,0,1,0,0,3
Tapage Nocturne Plumages for women and men,0,1,1,2,1
Atramental Room 1015 for women and men,5,4,3,8,2
Blomma Cult Room 1015 for women and men,5,4,6,1,0
Electric Wood Room 1015 for women and men,3,1,16,4,4
Power Ballad Room 1015 for women and men,2,4,5,1,2
Yesterday Room 1015 for women and men,0,1,4,2,1
Ce Soir Ou Jamais Annick Goutal for women,8,11,33,10,8
Eau d'Hadrien Annick Goutal for women and men,46,91,56,17,10
Eau de Camille Annick Goutal for women,3,10,20,3,2
Eau De Charlotte Annick Goutal for women,12,19,33,11,2
Eau de Lavande Annick Goutal for women and men,4,3,2,2,2
Eau de Monsieur Annick Goutal for women and men,4,7,3,2,0
Eau du Ciel Annick Goutal for women,9,18,16,4,2
Eau du Sud Annick Goutal for women and men,14,15,40,18,8
Folavril Annick Goutal for women,9,3,5,2,1
Gardenia Passion Annick Goutal for women,7,12,32,12,2
Grand Amour Annick Goutal for women,14,10,28,33,11
Heure Exquise Annick Goutal for women,8,7,32,11,4
Passion Annick Goutal for women,4,4,18,20,1
Petite Cherie Annick Goutal for women,25,47,56,18,12
Petite Chérie - Claudie Pierlot Edition Annick Goutal for women,3,0,0,1,3
Rose Absolue Annick Goutal for women,1,8,22,7,1
Sables Annick Goutal for men,9,3,15,47,85
Vetiver Annick Goutal for men,5,2,13,2,1
Eau de Bonpoint Bonpoint for women,2,1,0,0,1
Portrayal Woman Amouage for women,1,5,13,19,8
Sensual Orchid - My Paradise Armand Basi for women,1,1,1,0,0
Twin for Women Azzaro for women,3,7,19,13,3
Visit For Men Azzaro for men,24,36,75,224,37
Funtastic Wild Citrus for Boys Benetton for men,0,1,6,1,1
Beso Canalla Beso Beach Perfumes for women and men,1,0,0,0,0
Jaipur Homme Boucheron for men,34,31,89,242,293
Jaipur Homme Limited Edition Boucheron for men,3,2,11,16,12
Black Bvlgari for women and men,65,97,398,219,74
Calvin Klein Women Calvin Klein for women,15,7,28,23,4
Obsessed for Women Calvin Klein for women,14,6,42,12,12
