exp3,exp2,exp1,freq3,freq2,freq1,freq0
0,0,0,0,0,0,0
75,5.4,23.2,2,3,5,2
72.5,8.8,126.9,7,5,6,5
28.1,0,0,1,0,0,0
0,29.2,8.6,0,2,1,0
0,0,0,0,0,0,0
64.6,9.3,9.7,1,2,2,2
0,0,0,0,0,0,0
39.7,8,1.1,3,3,1,2
0,0,0,0,0,0,0
0,0,0,0,0,0,1
0,0,0,0,0,0,0
20.8,37.3,6.7,2,2,2,2
1.5,24.7,0,2,1,0,0
43.5,0,10.1,2,0,1,1
5.2,0,0,1,0,0,0
36.3,6,0.2,2,2,3,3
0,0,0,0,0,0,0
72.3,18.2,11.5,4,6,5,1
111.3,23.5,34.4,4,3,2,1
0,0,0,0,0,0,0
10.2,0,0,1,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
52.2,17.7,25.7,1,3,2,1
0,0,0,0,0,0,0
0,9.2,22.2,0,1,6,1
112.6,23.1,45.6,5,5,5,5
0,17.6,0.9,0,3,2,0
37.7,0,5.2,1,0,2,1
71.2,2.1,2.2,1,1,1,0
28.1,3,0,1,1,0,2
30.4,0,63.7,1,0,1,0
65.6,16.3,12.8,7,3,3,7
0,0,0,0,0,0,0
0,0,0,0,0,0,2
0,28.9,0,0,2,0,1
20.4,0,0,4,0,0,0
17.7,17.2,56.9,1,1,1,0
19.3,35.8,0,5,2,0,3
0,0,0,0,0,0,0
6.6,0,0,1,0,0,0
33,9.8,1.6,4,7,1,3
34.7,30.9,0,2,3,0,0
45.9,32.3,6.1,5,11,4,0
0,0,0,0,0,0,0
59.7,0.3,21.4,2,2,2,1
40.1,12.2,70.1,3,2,3,3
23.9,12.2,50.5,2,8,2,3
0,105.1,0,0,1,0,0
0,6.9,0,0,2,0,1
43.3,0.9,3.1,1,4,2,1
66.1,0,0.2,3,0,3,1
0,0,0,0,0,0,0
41.6,0,4.1,3,0,1,2
0,0,0,0,0,0,0
47.4,5.9,15.1,2,3,2,1
33.8,10.2,0,1,2,0,0
0,0,23.1,0,0,1,0
38.6,8.2,0,1,1,0,1
93.6,0,0.5,2,0,2,1
54.9,37.4,11.4,10,9,5,5
12.6,0,9.3,5,0,1,1
62.3,50.4,0,4,5,3,1
41.7,13.4,25.5,1,2,2,0
0,9.3,29.9,0,3,3,1
0,13.4,0,0,3,0,0
79.3,0,0,5,0,0,2
0,0,0,0,0,0,0
34.3,11.4,20.1,4,3,3,3
6,0.5,0,2,3,0,1
42.1,21.6,4.1,5,3,3,3
56.1,43.5,10.5,1,7,5,5
14.5,16.5,0,2,4,0,0
19.9,25.3,12.6,5,6,1,1
0,0,98.5,0,0,1,0
62.4,10.2,0,1,7,0,0
23.5,21.1,0,3,2,0,0
0,0,0,0,0,0,0
32.6,15.8,17.9,3,3,3,2
0,0.9,21.9,0,1,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,5.2,0,0,1,0,1
25.8,1.2,2.3,1,3,1,0
58.1,12.9,7.8,6,6,4,1
0,9.4,0,0,2,0,0
19.8,6.9,0,1,1,0,1
0,0,6.1,0,0,1,0
0,0,31.9,0,0,1,0
0.3,1.2,0,2,2,0,0
13.3,32.3,0,2,1,0,0
0,0,0,0,0,0,0
0,8.3,0,0,1,0,2
0,0,0.1,0,0,2,1
0,0,0,0,0,0,0
0,0,12.6,0,0,1,0
24.7,0,11.1,1,0,1,0
17.2,14.3,0,3,3,0,0
44.9,2.2,0,3,3,0,0
0.3,9.7,0,1,2,0,0
17.6,60.7,9.4,6,6,1,1
43.1,39.4,50.1,3,5,4,2
57.1,0,0,1,0,0,0
8.2,23.5,0,1,2,0,0
0,0,0,0,0,0,0
2,0,0,2,0,0,0
13.1,12.9,77.3,1,2,1,4
46.9,28.9,12.8,3,2,3,2
2.1,0,0,1,0,0,0
21.9,57.5,35.2,2,1,2,0
13.4,0,23.3,2,0,1,0
0,2.5,0,0,3,0,0
0,0,0,0,0,0,0
83.1,16.2,29.9,2,2,1,1
20.9,12,2.4,1,1,2,1
17.1,47.1,3.7,1,2,1,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
20.1,0,15.2,3,0,2,1
32.9,11.7,0,1,3,0,1
21.3,15.1,2.1,6,2,2,3
14.5,3.3,0,2,2,0,0
32.7,15.3,0,1,2,0,0
98.4,17.1,14.2,3,1,1,1
53.6,16.5,6.1,1,2,3,3
0,5.9,14.1,0,2,3,3
17.5,0,0,2,0,0,0
0,64.8,0.1,0,3,5,2
10.6,0,15.5,1,0,1,0
0,0,28.3,0,0,1,0
55.3,23.3,0,4,1,0,0
0,12.7,0,0,2,0,0
0,15.1,27,0,1,1,1
0,73.6,0,0,2,0,0
0,0,0,0,0,0,2
0,0,0,0,0,0,0
41,0,4.6,2,0,4,1
11.9,16.9,0,4,3,0,0
66.5,0,0,1,0,0,0
0,0,0,0,0,0,0
12.3,21.9,0,3,3,0,2
0,29.8,11.4,0,1,1,3
21.4,10.6,0,4,2,0,0
0,0,0,0,0,0,0
35.5,21.9,0,1,1,0,0
0,31.6,0,0,1,0,0
0,0,0,0,0,0,0
22.1,13.2,31.4,2,3,1,0
66.8,36.9,8.1,6,2,3,6
0,0,0,0,0,0,0
0.6,2.7,0,4,2,0,0
0,0,0,0,0,0,1
0,4.7,151,0,5,1,0
0,0,0,0,0,0,0
73.3,2.9,38.6,1,2,2,2
16.2,18.8,9.9,3,5,1,0
0,0,0,0,0,0,0
56.1,10.3,4.2,5,2,4,4
0,0,0,0,0,0,0
146.4,0.4,41.4,3,2,2,4
0,0,0,0,0,0,0
22.9,4.2,0,1,2,0,0
36.8,0.1,10.4,3,2,2,3
38.1,2.3,5.6,2,3,3,2
0,0,0,0,0,0,0
0,1.4,0,0,3,0,1
0,58.1,4.6,0,1,3,1
55.3,12.8,0.3,2,5,1,2
0,0,0,0,0,0,0
44.7,23.2,12.1,3,5,2,1
11.4,9.2,0,1,1,0,0
10.2,30.6,0,2,1,0,0
0,9.6,0,0,1,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3.6,0,0,1,0,0,0
0,0,0,0,0,0,0
31.5,6.6,57.8,1,2,2,0
0,0,13.7,0,0,3,0
27.2,0,11,1,0,2,5
14.1,22.1,0,2,3,0,0
0,0,0,0,0,0,0
86.4,8.7,0,2,2,0,2
0,14.1,0,0,2,0,0
13.5,6.3,0,2,3,0,1
0,0,0,0,0,0,0
10.1,0,0.8,2,0,1,1
5.7,31,0,2,6,0,0
122.7,9.2,1.4,4,2,3,1
0,12.7,0,0,1,0,0
26.7,0,12,1,0,1,0
42.7,25.9,24.9,4,4,4,1
10.5,18,3.3,7,4,1,0
11.1,2.6,57.6,2,2,1,3
44.8,0,4.7,2,0,2,1
81.3,0,0,1,0,0,0
0,0,0,0,0,0,0
23.5,68,27.1,2,5,1,0
57.2,5,3.2,1,3,3,3
0,14.6,0,0,4,0,0
4.6,6.6,0,7,3,0,0
0,0,0,0,0,0,0
0,5.8,5.7,0,2,2,2
0,3.6,38.2,0,2,1,0
41,3.7,0.2,7,4,3,3
0,34.1,0,0,1,0,0
17.7,24.2,60.4,1,1,1,0
0,0,0,0,0,0,0
32.8,12.2,22.8,3,4,3,4
48.2,0,38.8,2,0,1,0
78.1,0,19,2,0,5,0
0,0,0,0,0,0,1
31,0,0.9,1,0,1,1
0,63.6,0,0,1,0,0
17.2,79.2,0,2,1,0,1
44.9,13.4,0,3,5,0,4
0,0,0,0,0,0,0
33.8,0,0,1,0,0,0
43.9,0,0,1,0,0,0
5.2,3.5,0,2,3,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
47.5,0.2,53.3,1,3,2,1
0,23.5,2.6,0,1,1,2
18.9,2.8,0,2,2,0,1
0,0,0,0,0,0,0
0,0,40.5,0,0,1,0
0,0,3.1,0,0,2,1
58.2,35.9,24.5,3,4,3,2
41.5,9.8,47.6,2,4,2,3
18.9,1.2,11.6,3,1,1,1
30,3.1,2.5,5,3,1,4
101.9,31.4,44.2,10,6,8,6
0.3,0,0,2,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,18.7,0,1,3,0,0
20.6,0.4,0,1,4,0,0
20.2,11.1,34,2,2,1,0
29.4,15,51.9,2,3,2,1
17.7,0,0,1,0,0,0
33,28.2,0,1,1,0,1
0,0,0,0,0,0,0
22.4,6.2,0.1,3,4,2,4
0,0,0,0,0,0,0
51.7,8.4,12.8,5,6,2,1
0,0,0,0,0,0,0
0,5.2,82.2,0,1,2,2
47,0,0.7,1,0,2,1
35.9,0,15.6,1,0,3,0
10.9,23.1,0,3,3,0,0
0,3.5,0,0,1,0,0
0,6.4,0,0,1,0,0
11.4,0,4.1,2,0,1,0
76.3,15.7,0,2,2,6,4
0,4.6,2.6,0,1,1,1
2,13.4,0,1,2,0,0
0,0,0,0,0,0,0
84.3,12.1,120.2,1,3,2,1
58.8,11,0,3,2,0,1
0,12.2,22.4,0,1,3,0
0.5,0,0,1,0,0,0
77.5,24.7,4.2,9,10,3,2
0,0,0,0,0,0,0
0,0,0,0,0,0,0
56.6,11.2,50.7,6,3,3,0
47.5,9.4,14.4,3,3,3,2
41.9,41.4,5.4,1,2,1,0
39.9,12.3,12.4,1,4,1,0
39.8,0,0,1,0,0,0
0,3,7.2,0,3,3,2
0,0,0,0,0,0,0
18.5,1.9,8,4,5,1,2
0,0,0,0,0,0,0
1.1,11.3,0,1,2,0,0
5.5,20.8,0,6,9,0,4
56.5,1.2,61.8,2,5,3,1
0,0,0,0,0,0,0
13.6,12.8,30.6,2,1,1,0
45.2,3.2,20.7,4,1,2,2
0,0,0,0,0,0,0
41,28.9,8.1,2,1,2,0
0,0,23,0,0,2,3
8.2,12.1,0,2,1,0,0
7.3,45.7,0,1,2,0,2
53.3,5.9,24.2,3,1,4,4
37.5,34.1,0,5,7,0,3
0,0,0,0,0,0,0
7.5,0.5,0,5,5,0,0
0,2.7,0,0,1,0,0
34.3,9.4,4.6,1,1,3,4
34.5,44.6,4.7,1,2,1,3
0,0,3,0,0,2,0
0,0,0,0,0,0,0
21.9,21.2,20.4,3,3,1,2
38.8,0.9,0,1,2,0,0
